product_id,product_name,price,cost_price,profit_margin,category,subcategory,brand,shelf_life_days,is_perishable,price_tier,product_taxonomies
PRD-0001,CP ปากกา #1,112.52,70.49,0.3735,เครื่องเขียน,ปากกา,CP,1015,0,mid,เครื่องเขียน > ปากกา > CP
PRD-0002,Ichitan ปากกา #2,17.61,10.1,0.4266,เครื่องเขียน,ปากกา,Ichitan,791,0,budget,เครื่องเขียน > ปากกา > Ichitan
PRD-0003,Singha อาหารทะเล #3,267.52,239.0,0.1066,อาหารสด,อาหารทะเล,Singha,6,1,premium,อาหารสด > อาหารทะเล > Singha
PRD-0004,Singha กาว #4,70.14,43.24,0.3835,เครื่องเขียน,กาว,Singha,743,0,mid,เครื่องเขียน > กาว > Singha
PRD-0005,Knorr ขนมขบเคี้ยว #5,90.58,67.59,0.2538,อาหารแห้ง,ขนมขบเคี้ยว,Knorr,434,0,mid,อาหารแห้ง > ขนมขบเคี้ยว > Knorr
PRD-0006,Sunsilk เนื้อสัตว์ #6,75.46,51.92,0.3119,อาหารสด,เนื้อสัตว์,Sunsilk,12,1,mid,อาหารสด > เนื้อสัตว์ > Sunsilk
PRD-0007,Downy น้ำอัดลม #7,111.88,56.69,0.4933,เครื่องดื่ม,น้ำอัดลม,Downy,223,0,mid,เครื่องดื่ม > น้ำอัดลม > Downy
PRD-0008,SCG ผักสด #8,446.16,361.21,0.1904,อาหารสด,ผักสด,SCG,6,1,premium,อาหารสด > ผักสด > SCG
PRD-0009,Unilever ปากกา #9,100.88,47.22,0.5319,เครื่องเขียน,ปากกา,Unilever,893,0,mid,เครื่องเขียน > ปากกา > Unilever
PRD-0010,Sunsilk บะหมี่กึ่งสำเร็จรูป #10,90.61,58.09,0.3589,อาหารแห้ง,บะหมี่กึ่งสำเร็จรูป,Sunsilk,463,0,mid,อาหารแห้ง > บะหมี่กึ่งสำเร็จรูป > Sunsilk
PRD-0011,Colgate ข้าวสาร #11,70.76,51.89,0.2667,อาหารแห้ง,ข้าวสาร,Colgate,163,0,mid,อาหารแห้ง > ข้าวสาร > Colgate
